fixture,ts_ms,outcome_idx,outcome,in_running,event_driven,z,prob_before,prob_after,entry_odds,lock_immediate,lock_60s,lock_120s,lock_300s,lock_600s,lock_900s,unhedged_terminal,hit
18175918,1783040349273,0,part1,False,False,417.42,0.6343,0.8518,1.174,-0.3,-25.86,-25.93,-0.18,-0.07,-25.87,17.4,True
18175918,1783043752632,1,draw,False,False,2.64,0.1301,0.3033,3.297,-2.02,-66.13,-1.77,-1.77,-65.94,-65.94,-100.0,False
18175918,1783046706188,1,draw,False,False,872.63,0.1032,0.3025,3.306,-1.93,-1.79,-1.79,-1.79,-1.79,-1.79,-100.0,False
18175918,1783049767106,1,draw,False,False,1142.55,0.1041,0.3029,3.302,-1.91,-66.47,-66.47,-66.47,-2.47,-2.47,-100.0,False
18175918,1783052805562,0,part1,False,False,3.21,0.6652,0.8562,1.168,-0.27,-0.27,-0.27,-0.27,-0.28,-0.28,16.8,True
18175918,1783057369086,0,part1,False,False,117.35,0.6542,0.854,1.171,-0.36,-24.09,-23.67,-0.28,-0.19,-23.66,17.1,True
18175918,1783094562995,0,part1,False,False,532.22,0.6635,0.8576,1.166,-0.27,-23.25,-0.28,-23.39,-0.28,-23.3,16.6,True
18175918,1783096506054,0,part1,False,False,3.59,0.6734,0.8576,1.166,-0.28,-23.28,-23.26,-24.05,-23.29,-23.29,16.6,True
18175918,1783097633111,0,part1,False,False,85.53,0.6622,0.8576,1.166,-0.29,-23.26,-23.14,-23.14,-23.38,-23.35,16.6,True
18175918,1783098297624,0,part1,False,False,2.58,0.6873,0.8562,1.168,-0.33,-23.23,-23.23,-23.35,-0.36,-23.76,16.8,True
18175918,1783099017380,0,part1,False,False,3.15,0.678,0.8554,1.169,-0.29,-23.67,-23.67,-23.69,-23.52,-23.56,16.9,True
18175918,1783104387917,0,part1,False,False,3.74,0.6694,0.854,1.171,-0.28,-23.79,-23.74,-23.74,-23.75,-23.75,17.1,True
18175918,1783105529372,0,part1,False,False,3.46,0.6717,0.854,1.171,-0.3,-0.31,-0.31,-0.25,-0.29,-24.0,17.1,True
18175918,1783107052171,0,part1,False,False,3.16,0.6729,0.854,1.171,-0.33,-0.33,-0.33,-0.22,-23.78,-23.78,17.1,True
18175918,1783109250752,0,part1,False,False,2.52,0.6849,0.8554,1.169,-0.35,-23.51,-23.54,-23.37,-23.14,-23.11,16.9,True
18175918,1783110118596,0,part1,False,False,2.62,0.6864,0.8569,1.167,-0.36,-23.18,-23.18,-23.17,-0.41,-23.44,16.7,True
18175918,1783112048582,0,part1,False,False,2.61,0.6884,0.8576,1.166,-0.33,-0.48,-23.11,-0.52,-23.17,-23.51,16.6,True
18175918,1783113618629,0,part1,False,True,2.79,0.6823,0.8576,1.166,-0.31,-24.03,-23.91,-23.8,-23.51,0.44,16.6,True
18175918,1783120837564,1,draw,True,True,90.27,0.0501,0.3228,3.098,-1.89,1.5,2.13,3.02,19.65,33.39,-100.0,False
18175918,1783120837564,2,part2,True,True,65.39,0.0106,0.0553,18.1,-17.17,-46.74,-46.15,-53.23,-47.66,-36.98,-100.0,False
18175918,1783122375331,1,draw,True,True,2.51,0.4571,0.5807,1.722,-0.95,1.54,3.69,19.01,37.86,2.11,-100.0,False
18175918,1783123091548,1,draw,True,True,2.59,0.5621,0.9506,1.052,-0.04,-63.69,-62.23,-38.19,-93.09,-95.84,-100.0,False
18175918,1783123658707,0,part1,True,True,2.88,0.4336,0.9285,1.077,-0.16,1.31,1.92,2.62,4.14,-56.46,7.7,True
18175918,1783125126867,0,part1,True,True,11.17,0.3775,0.9372,1.067,-0.17,-1.62,-1.62,-1.05,2.51,2.51,6.7,True
18175981,1782761117705,0,part1,False,False,2.54,0.6025,0.7698,1.299,-0.57,-0.57,-25.77,-25.77,-25.77,-25.77,29.9,True
18175981,1782762312783,0,part1,False,False,577.81,0.578,0.7716,1.296,-0.53,-25.99,-25.99,-25.99,-25.99,0.0,29.6,True
18175981,1782770984886,0,part1,False,False,2.55,0.6013,0.7616,1.313,-0.53,-25.15,-0.66,-25.15,-25.04,-25.04,31.3,True
18175981,1782788439582,0,part1,False,False,2.83,0.5916,0.7564,1.322,-0.6,-25.32,-25.41,-25.3,-0.57,-0.57,32.2,True
18175981,1782834606401,0,part1,False,False,85.9,0.5755,0.7593,1.317,-0.54,-0.52,-0.52,-0.65,-25.4,-0.54,31.7,True
18175981,1782840584795,0,part1,False,False,3.46,0.5882,0.7605,1.315,-0.56,-25.38,-25.38,-0.56,-0.56,-0.6,31.5,True
18175981,1782842264295,0,part1,False,False,2.66,0.5975,0.761,1.314,-0.63,-0.59,-0.59,-25.37,-0.48,-25.2,31.4,True
